ID,Post Title,Post Name,Type,Singular,First Letter,Years,Year
6264,The NOMIS Foundation,the-nomis-foundation-2,Organisation,1,,2021,2021
6263,Société des Produits Nestlé,societe-des-produits-nestle-2,Organisation,1,,2021,2021
6262,Mitsubishi Chemical Corporation,mitsubishi-chemical-corporation-2,Organisation,1,,2021,2021
6261,Microsoft,microsoft-2,Organisation,1,,2021,2021
6260,MERCATOR STIFTUNG,mercator-stiftung-2,Organisation,1,,2021,2021
6259,Fondation MERAC,fondation-merac-2,Organisation,1,,2021,2021
6258,Lausanne Orthopedic Research Foundation,lausanne-orthopedic-research-foundation-2,Organisation,1,,2021,2021
6257,The LEGO Foundation,the-lego-foundation-2,Organisation,1,,2021,2021
6256,The Kavli Foundation,the-kavli-foundation-2,Organisation,1,,2021,2021
6255,Prof. Janet Hering,prof-janet-hering-2,Individual,1,,2021,2021
6254,Institution of Engineering and Technology,institution-of-engineering-and-technology-2,Organisation,1,,2021,2021
6253,IBM,ibm-2,Organisation,1,,2021,2021
6252,Honda Research institute USA Inc.,honda-research-institute-usa-inc-2,Organisation,1,,2021,2021
6251,Helmut Horten Foundation,helmut-horten-foundation,Organisation,1,,2021,2021
6250,The Guy Foundation,the-guy-foundation-2,Organisation,1,,2021,2021
6249,Google,google-2,Organisation,1,,2021,2021
6248,Givaudan,givaudan-2,Organisation,1,,2021,2021
6247,Gelbert Foundation,gelbert-foundation,Organisation,1,,2021,2021
6246,Fondation privée des HUG,fondation-privee-des-hug-2,Organisation,1,,2021,2021
6245,Fondation pour la lutte contre le cancer,fondation-pour-la-lutte-contre-le-cancer-2,Organisation,1,,2021,2021
6244,NeuroNA Foundation,neurona-foundation,Organisation,1,,2021,2021
6243,Fondation Léonard Gianadda Mécénat,fondation-leonard-gianadda-mecenat-2,Organisation,1,,2021,2021
6242,Fyssen Foundation,fyssen-foundation,Organisation,1,,2021,2021
6241,Fondation Philanthropique Famille Sandoz,fondation-philanthropique-famille-sandoz-2,Organisation,1,,2021,2021
6240,Research fund of the Swiss gas industry (FOGA),research-fund-of-the-swiss-gas-industry-foga,Organisation,1,,2021,2021
6239,Sea Grape Foundation,sea-grape-foundation-2,Organisation,1,,2021,2021
6238,Migros Pioneer Fund,migros-pioneer-fund,Organisation,1,,2021,2021
6237,Fondation Gianni Biaggi de Blasys,fondation-gianni-biaggi-de-blasys-2,Organisation,1,,2021,2021
